Reference, Quantity, Value, Footprint, Datasheet, LCSC, MFR
AE1 ,1,"2.45GHz PCB antenna","RF_Antenna:Texas_SWRA117D_2.4GHz_Right","~"
BT1 ,1,"Li+","PlantBuddy:BatteryHolder_LCSC_2032","~","C70377","CR2032-BS-6-1"
C6 C11 C13 C14 ,4,"12pF","Capacitor_SMD:C_0402_1005Metric","https://datasheet.lcsc.com/szlcsc/Guangdong-Fenghua-Advanced-Tech-0402CG120J500NT_C1547.pdf","C1547",""
C15 ,1,"4.7uF","Capacitor_SMD:C_0402_1005Metric","https://datasheet.lcsc.com/szlcsc/Samsung-Electro-Mechanics-CL05A475MP5NRNC_C23733.pdf","C23733",""
C16 ,1,"1uF","Capacitor_SMD:C_0402_1005Metric","~","C52923",""
C1 C2 C3 C5 C10 C12 C17 ,7,"100nF","Capacitor_SMD:C_0402_1005Metric","~","C1525",""
C4 ,1,"C_Probe","PlantBuddy:SoilProbe","~"
C7 ,1,"1.2pF","Capacitor_SMD:C_0402_1005Metric","https://datasheet.lcsc.com/szlcsc/Samsung-Electro-Mechanics-CL05C1R2BB5NNNC_C159809.pdf","C159809",""
C8 ,1,"0.8pF","Capacitor_SMD:C_0402_1005Metric","https://datasheet.lcsc.com/szlcsc/YAGEO-CQ0402ARNPO9BNR80_C326068.pdf","C326068",""
C9 ,1,"100pF","Capacitor_SMD:C_0402_1005Metric","https://datasheet.lcsc.com/szlcsc/Guangdong-Fenghua-Advanced-Tech-0402CG101J500NT_C1546.pdf","C1546",""
D1 ,1,"Y","LED_SMD:LED_0603_1608Metric","~","C72038",""
J1 ,1,"SWD+DBG","Connector_PinHeader_2.54mm:PinHeader_2x03_P2.54mm_Vertical","~","C541879",""
J2 ,1,"Conn_I2C_SDA","TestPoint:TestPoint_Pad_D1.0mm","~"
J3 ,1,"Conn_I2C_SCL","TestPoint:TestPoint_Pad_D1.0mm","~"
L1 ,1,"3.9nH","Inductor_SMD:L_0402_1005Metric","https://datasheet.lcsc.com/szlcsc/Sunlord-SDCL1005C3N9STDF_C14033.pdf","C14033",""
L4 ,1,"10uH","Inductor_SMD:L_0805_2012Metric","~","C95978",""
Q1 ,1,"AO3401","Package_TO_SOT_SMD:SOT-23","http://www.aosmd.com/pdfs/datasheet/AO3401A.pdf","C15127",""
Q2 ,1,"AO3400A","Package_TO_SOT_SMD:SOT-23","https://datasheet.lcsc.com/szlcsc/1811081213_Alpha-Omega-Semicon-AO3400A_C20917.pdf","C20917",""
R1 R2 R4 R8 R9 R14 R15 ,7,"10k","Resistor_SMD:R_0402_1005Metric","~","C25744",""
R3 ,1,"1k","Resistor_SMD:R_0402_1005Metric","~","C11702",""
U1 ,1,"OPT3001","Package_DFN_QFN:DFN-6-1EP_2x2mm_P0.65mm_EP1x1.6mm","https://www.ti.com/lit/ds/symlink/opt3001.pdf","C90462",""
U2 ,1,"nRF52810-QCxx","Package_DFN_QFN:QFN-32-1EP_5x5mm_P0.5mm_EP3.6x3.6mm_ThermalVias","http://infocenter.nordicsemi.com/pdf/nRF52810_PS_v1.1.pdf","C519278",""
U3 ,1,"LMC555xM","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","http://www.ti.com/lit/ds/symlink/lmc555.pdf","C90760",""
U6 ,1,"SHTC3","PlantBuddy:Sensirion_DFN-4-1EP_2x2mm_P1mm_EP0.7x1.6mm","https://www.sensirion.com/fileadmin/user_upload/customers/sensirion/Dokumente/0_Datasheets/Humidity/Sensirion_Humidity_Sensors_SHTC3_Datasheet.pdf","C194656",""
Y1 ,1,"32MHz","Crystal:Crystal_SMD_3225-4Pin_3.2x2.5mm","https://datasheet.lcsc.com/szlcsc/TXC-Corp-7V3205LCSC-EEE4G_C90934.pdf","C90934",""
Y2 ,1,"32kHz","Crystal:Crystal_SMD_3215-2Pin_3.2x1.5mm","https://datasheet.lcsc.com/szlcsc/1901081604_Seiko-Epson-Q13FC1350000400_C32346.pdf","C32346",""
