Comment,Designator,Footprint,LCSC
"AO3400A","Q2","Package_TO_SOT_SMD:SOT-23","C20917"
"Conn_I2C_SCL","J3","TestPoint:TestPoint_Pad_D1.0mm",""
"Conn_I2C_SDA","J2","TestPoint:TestPoint_Pad_D1.0mm",""
"100nF","C10,C5,C3,C17,C12","Capacitor_SMD:C_0402_1005Metric","C1525"
"SHTC3","U6","PlantBuddy:Sensirion_DFN-4-1EP_2x2mm_P1mm_EP0.7x1.6mm","C194656"
"Li+","BT1","PlantBuddy:BatteryHolder_LCSC_2032","C70377"
"10k","R4,R14,R15,R1","Resistor_SMD:R_0402_1005Metric","C25744"
"Y","D1","LED_SMD:LED_0603_1608Metric","C72038"
"1k","R3","Resistor_SMD:R_0402_1005Metric","C11702"
"12pF","C13,C14,C6,C11","Capacitor_SMD:C_0402_1005Metric","C1547"
"32MHz","Y1","Crystal:Crystal_SMD_3225-4Pin_3.2x2.5mm","C90934"
"32kHz","Y2","Crystal:Crystal_SMD_3215-2Pin_3.2x1.5mm","C32346"
"100k","R101","Resistor_SMD:R_0402_1005Metric","C25741"
"NFC Antenna","J102","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical",""
"N/P","C102,C101","Capacitor_SMD:C_0402_1005Metric","C326068"
"nRF52832-QFxx","U101","Package_DFN_QFN:QFN-48-1EP_6x6mm_P0.4mm_EP4.6x4.6mm_ThermalVias",""
"100pF","C9","Capacitor_SMD:C_0402_1005Metric","C1546"
"4.7uF","C15","Capacitor_SMD:C_0402_1005Metric","C23733"
"1.2pF","C7","Capacitor_SMD:C_0402_1005Metric","C159809"
"3.9nH","L1","Inductor_SMD:L_0402_1005Metric","C14033"
"0.8pF","C8","Capacitor_SMD:C_0402_1005Metric","C285068"
"C_Probe","C4","PlantBuddy:SoilProbe",""
"2.45GHz PCB antenna","AE1","RF_Antenna:Texas_SWRA117D_2.4GHz_Right",""
"10uH","L4","Inductor_SMD:L_0805_2012Metric","C95978"
"1uF","C16","Capacitor_SMD:C_0402_1005Metric","C52923"
"Debug","J101","PlantBuddy:PinHeader_2x04_P1.27mm_Vertical",""
"LTR-303ALS-01","U102","OptoDevice:Lite-On_LTR-303ALS-01",""
