Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"U102","LTR-303ALS-01","Lite-On_LTR-303ALS-01",64.0432,-56.3266,0.0,top
"U101","nRF52832-QFxx","QFN-48-1EP_6x6mm_P0.4mm_EP4.6x4.6mm_ThermalVias",65.6755,-69.427,270.0,top
"R101","100k","R_0402_1005Metric",69.68,-78.6024,270.0,top
"C102","N/P","C_0402_1005Metric",76.794,-62.2448,180.0,top
"C101","N/P","C_0402_1005Metric",76.8956,-66.512,0.0,top
"L1","3.9nH","L_0402_1005Metric",59.903,-68.925,0.0,top
"C9","100pF","C_0402_1005Metric",59.1664,-72.608,45.0,top
"R1","10k","R_0402_1005Metric",59.141,-54.447,0.0,top
"R4","10k","R_0402_1005Metric",56.6645,-52.161,90.0,top
"C17","100nF","C_0402_1005Metric",64.0686,-54.4978,0.0,top
"C15","4.7uF","C_0402_1005Metric",57.0455,-53.7485,0.0,top
"C8","0.8pF","C_0402_1005Metric",61.427,-69.3695,270.0,top
"C7","1.2pF","C_0402_1005Metric",56.8296,-69.5092,270.0,top
"C6","12pF","C_0402_1005Metric",62.316,-75.5036,90.0,top
"C11","12pF","C_0402_1005Metric",56.8296,-76.3164,270.0,top
"C13","12pF","C_0402_1005Metric",73.1328,-70.0178,90.0,top
"C14","12pF","C_0402_1005Metric",73.1428,-72.1178,270.0,top
"Y1","32MHz","Crystal_SMD_3225-4Pin_3.2x2.5mm",59.556,-76.2946,180.0,top
"Y2","32kHz","Crystal_SMD_3215-2Pin_3.2x1.5mm",71.3928,-71.0678,90.0,top
"C5","100nF","C_0402_1005Metric",69.7328,-74.1828,90.0,top
"C16","1uF","C_0402_1005Metric",69.0724,-76.0116,180.0,top
"L4","10uH","L_0805_2012Metric",66.888,-75.148,90.0,top
"Q2","AO3400A","SOT-23",59.8395,-51.907,180.0,top
"R14","10k","R_0402_1005Metric",72.5268,-60.0604,0.0,top
"R15","10k","R_0402_1005Metric",72.5776,-54.0152,0.0,top
"U6","SHTC3","Sensirion_DFN-4-1EP_2x2mm_P1mm_EP0.7x1.6mm",67.5116,-56.3298,0.0,top
"D1","Y","LED_0603_1608Metric",65.8466,-58.4348,180.0,top
"R3","1k","R_0402_1005Metric",65.7196,-62.8036,270.0,top
"C3","100nF","C_0402_1005Metric",67.4341,-54.4343,0.0,top
"C10","100nF","C_0402_1005Metric",61.5032,-73.4208,270.0,top
"C12","100nF","C_0402_1005Metric",68.6152,-74.2336,270.0,top
