Designator,Val,Package,MidX,MidY,Rotation,Layer
"J1","SWD","Debug_Connector",-65.785000,-69.140000,180.000000,bottom
"C1","100nF","C_0402_1005Metric",54.110000,-66.890000,180.000000,top
"C2","100nF","C_0402_1005Metric",56.170000,-73.550000,180.000000,top
"C3","100nF","C_0402_1005Metric",70.500000,-68.740000,0.000000,top
"C5","100nF","C_0402_1005Metric",56.060000,-64.950000,180.000000,top
"C6","12pF","C_0402_1005Metric",71.715000,-64.100000,0.000000,top
"C7","100nF","C_0402_1005Metric",70.030000,-66.760000,90.000000,top
"C8","22uF","C_0603_1608Metric",59.110000,-59.260000,270.000000,top
"C9","100nF","C_0402_1005Metric",56.910000,-60.310000,180.000000,top
"C10","100nF","C_0402_1005Metric",69.900000,-57.800000,90.000000,top
"C11","12pF","C_0402_1005Metric",71.700000,-58.800000,180.000000,top
"C12","100nF","C_0402_1005Metric",60.770000,-62.620000,270.000000,top
"C13","20pF","C_0402_1005Metric",56.030000,-62.190000,0.000000,top
"C14","20pF","C_0402_1005Metric",56.040000,-63.870000,0.000000,top
"C16","1uF","C_0402_1005Metric",56.060000,-66.020000,180.000000,top
"C18","2.2pF","C_0402_1005Metric",65.800000,-60.200000,180.000000,top
"C19","1.5pF","C_0402_1005Metric",66.340000,-58.700000,270.000000,top
"C20","1.5pF","C_0402_1005Metric",64.300000,-59.660000,270.000000,top
"C22","2pF","C_0402_1005Metric",64.290000,-57.670000,270.000000,top
"C23","2pF","C_0402_1005Metric",61.280000,-58.650000,90.000000,top
"C26","20pF","C_0402_1005Metric",61.160000,-56.650000,270.000000,top
"D1","Y","LED_0603_1608Metric",66.560000,-75.507500,90.000000,top
"D2","R","LED_0603_1608Metric",64.870000,-75.497500,90.000000,top
"L1","2.7nH","L_0402_1005Metric",67.790000,-60.160000,0.000000,top
"L2","2.7nH","L_0402_1005Metric",65.320000,-58.700000,90.000000,top
"L3","3.3nH","L_0402_1005Metric",62.810000,-58.160000,180.000000,top
"L4","10uH","L_0805_2012Metric",58.790000,-66.120000,0.000000,top
"Q1","AO3401","SOT-23",57.640000,-76.340000,180.000000,top
"Q2","AO3400A","SOT-23",75.250000,-69.970000,0.000000,top
"R1","10k","R_0402_1005Metric",78.700000,-71.930000,180.000000,top
"R2","10k","R_0402_1005Metric",60.140000,-76.500000,270.000000,top
"R3","1k","R_0402_1005Metric",67.970000,-75.055000,90.000000,top
"R8","10k","R_0402_1005Metric",60.410000,-68.980000,270.000000,top
"R9","10k","R_0402_1005Metric",60.420000,-71.410000,270.000000,top
"R12","10k","R_0402_1005Metric",56.900000,-59.220000,0.000000,top
"R13","10k","R_0402_1005Metric",72.500000,-67.860000,0.000000,top
"R14","10k","R_0402_1005Metric",66.730000,-73.090000,180.000000,top
"R15","10k","R_0402_1005Metric",64.710000,-73.090000,0.000000,top
"R16","1k","R_0402_1005Metric",63.470000,-75.055000,90.000000,top
"SW1","PWR_SW","SW_SPDT_CK-JS102011SAQN",79.480000,-64.420000,90.000000,top
"SW2","BLE_RST_SW","SW_SPST_EVQP7C",76.410000,-75.150000,45.000000,top
"U1","OPT3001","DFN-6-1EP_2x2mm_P0.65mm_EP1x1.6mm",64.120000,-70.370000,0.000000,top
"U3","LMC555xM","SOIC-8_3.9x4.9mm_P1.27mm",55.990000,-70.180000,270.000000,top
"U5","BlueNRG-M1","QFN-32-1EP_5x5mm_P0.5mm_EP3.3x3.3mm_ThermalVias",65.785000,-64.565000,90.000000,top
"U6","SHTC3","Sensirion_DFN-4-1EP_2x2mm_P1mm_EP0.7x1.6mm",67.440000,-70.370000,0.000000,top
"Y1","16MHz","Crystal_SMD_3225-4Pin_3.2x2.5mm",71.700000,-61.500000,90.000000,top
"Y2","32kHz","Crystal_SMD_3215-2Pin_3.2x1.5mm",58.240000,-63.000000,90.000000,top
