"Designator","Mid X","Mid Y","Layer","Rotation"
"J103","60.89308mm","-53.001171mm","top","0.0"
"J102","60.89308mm","-50.207171mm","top","0.0"
"R102","62.92508mm","-51.477171mm","top","90.0"
"AE101","65.7098mm","-64.4144mm","top","139.9"
"LS101","79.89228mm","-65.396371mm","top","180.0"
"C9","60.23268mm","-74.057771mm","top","90.0"
"C17","64.0686mm","-54.7264mm","top","0.0"
"C16","69.52908mm","-78.299571mm","top","180.0"
"C15","70.31648mm","-76.013571mm","top","270.0"
"C14","76.48868mm","-73.117971mm","top","270.0"
"C13","76.46328mm","-69.993771mm","top","90.0"
"C12","68.69088mm","-76.013571mm","top","270.0"
"C11","58.20068mm","-76.826371mm","top","270.0"
"C10","70.44348mm","-68.723771mm","top","270.0"
"C6","64.01728mm","-76.800971mm","top","90.0"
"C5","74.10108mm","-74.641971mm","top","180.0"
"C3","67.4341mm","-54.728371mm","top","0.0"
"R101","68.81788mm","-79.874371mm","top","0.0"
"R4","68.38608mm","-50.257971mm","top","270.0"
"R1","65.36348mm","-65.015371mm","top","270.0"
"J101","60.1726mm","-63.3476mm","top","0.0"
"Q101","65.59208mm","-50.130971mm","top","90.0"
"U102","64.0432mm","-56.8092mm","top","0.0"
"U101","65.6501mm","-70.9256mm","top","90.0"
"L1","59.8776mm","-70.4236mm","top","0.0"
"C8","61.4016mm","-70.8681mm","top","270.0"
"C7","57.750389mm","-71.364789mm","top","315.0"
"Y1","61.14708mm","-76.775571mm","top","180.0"
"Y2","74.3392mm","-71.5758mm","top","90.0"
"C4","65.714mm","-105.1mm","top","0.0"
"L4","66.8626mm","-76.6466mm","top","90.0"
"U6","67.5116mm","-56.8124mm","top","0.0"
