Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"AE101","Antenna_Chip","LED_1206_3216Metric",148.700000,-115.250000,90.000000,top
"C1","100nF","C_0402_1005Metric",158.350000,-134.800000,90.000000,top
"C2","100nF","C_0402_1005Metric",152.450000,-140.550000,0.000000,top
"C5","4.7u","C_0402_1005Metric",121.850000,-119.025000,-90.000000,top
"C6","4.7u","C_0402_1005Metric",124.375000,-121.975000,0.000000,top
"C10","4.7u","C_0402_1005Metric",124.950000,-114.250000,180.000000,top
"C11","4.7u","C_0402_1005Metric",130.950000,-115.000000,-90.000000,top
"C101","4.7u","C_0402_1005Metric",134.874000,-117.122000,90.000000,top
"C103","100nF","C_0402_1005Metric",139.875000,-128.075000,180.000000,top
"C104","100nF","C_0402_1005Metric",132.150000,-125.950000,-90.000000,top
"C105","15pF","C_0402_1005Metric",143.044139,-121.578622,-45.000000,top
"C106","15pF","C_0402_1005Metric",140.038935,-126.210171,135.000000,top
"C107","N/P","C_0402_1005Metric",148.239340,-119.965076,180.000000,top
"C108","0.8pF","C_0402_1005Metric",148.203984,-122.970279,180.000000,top
"C109","100nF","C_0402_1005Metric",151.569080,-132.231171,-90.000000,top
"C110","100nF","C_0402_1005Metric",142.369080,-126.281171,-135.000000,top
"C111","1uF","C_0402_1005Metric",143.967200,-128.275000,90.000000,top
"C112","4.7u","C_0402_1005Metric",145.900000,-132.425000,0.000000,top
"C113","100pF","C_0402_1005Metric",145.271525,-122.533216,180.000000,top
"C114","100nF","C_0402_1005Metric",144.119080,-130.236171,-90.000000,top
"C115","4.7u","C_0402_1005Metric",134.620000,-122.809000,180.000000,top
"C116","N/P","C_0402_1005Metric",145.271525,-121.533217,180.000000,top
"C117","100nF","C_0402_1005Metric",147.769080,-132.400000,-90.000000,top
"C118","100nF","C_0402_1005Metric",144.069080,-132.331171,90.000000,top
"C119","4.7u","C_0402_1005Metric",144.244080,-135.356171,-90.000000,top
"D1","SK6812SMINI-ER","XL-3528RGBW-WS2812B",157.909545,-120.225000,180.000000,top
"D101","SMF05CT1G","SOT-363_SC-70-6",135.864600,-132.486400,-90.000000,top
"J1","USB_C_Receptacle_USB2.0","USB_C_Receptacle_HRO_TYPE-C-31-M-12",137.994080,-139.431171,0.000000,top
"J4","External","Hirose_FH12-10S-0.5SH_1x10-1MP_P0.50mm_Horizontal",155.731499,-127.431171,90.000000,top
"J101","JST","Molex_PicoBlade_53261-0271_1x02-1MP_P1.25mm_Horizontal",121.661355,-127.300000,-90.000000,top
"J102","J-Link SWD","PinHeader_2x05_P1.27mm_Vertical",144.550000,-140.500000,90.000000,top
"L101","3.9nH","L_0402_1005Metric",148.663604,-121.450000,-90.000000,top
"Q101","DMG1012T","SOT-523",154.700000,-120.725000,0.000000,top
"R1","5k1","R_0402_1005Metric",131.619080,-137.981171,-90.000000,top
"R2","5k1","R_0402_1005Metric",144.700000,-137.100000,180.000000,top
"R3","5k1","R_0402_1005Metric",153.210000,-134.250000,0.000000,top
"R4","5k1","R_0402_1005Metric",153.200000,-135.300000,0.000000,top
"R5","5k1","R_0402_1005Metric",123.393200,-116.052600,90.000000,top
"R6","9.1k","R_0603_1608Metric",119.825000,-121.650000,0.000000,top
"R9","10k","R_0402_1005Metric",126.350000,-121.975000,180.000000,top
"R10","10k","R_0402_1005Metric",122.425000,-121.975000,180.000000,top
"R13","1M","R_0402_1005Metric",127.325000,-130.225000,0.000000,top
"R14","1M","R_0402_1005Metric",127.300000,-129.200000,0.000000,top
"R101","470k","R_0402_1005Metric",132.842000,-117.094000,-90.000000,top
"R102","10k","R_0402_1005Metric",152.975000,-120.825000,90.000000,top
"R103","100R","R_0603_1608Metric",126.500000,-126.600000,-90.000000,top
"R104","22k","R_0402_1005Metric",146.019080,-133.581171,180.000000,top
"R105","10k","R_0402_1005Metric",145.819080,-135.600000,90.000000,top
"R106","47k","R_0402_1005Metric",146.950000,-135.450000,-90.000000,top
"R108","10k","R_0402_1005Metric",123.565000,-137.375000,0.000000,top
"SW1","SW_Push","Panasonic_EVQPUK_EVQPUB",126.367928,-140.281027,180.000000,top
"U1","LTR-303ALS-01","Lite-On_LTR-303ALS-01",156.300000,-134.450000,180.000000,top
"U2","SHTC3","SON100P200X200X80-5N",152.500000,-138.332500,90.000000,top
"U4","BQ24072RGT","VQFN-16-1EP_3x3mm_P0.5mm_EP1.6x1.6mm",124.575000,-119.250000,90.000000,top
"U5","RT9080-33GJ5","SOT-23-5",128.050000,-115.200000,0.000000,top
"U101","RT9080-33GJ5","SOT-23-5",133.858000,-120.142000,-90.000000,top
"U102","nRF52832-QFxx","QFN-48-1EP_6x6mm_P0.4mm_EP4.6x4.6mm",148.488861,-127.518318,90.000000,top
"U104","XB5350A","SOT-23-5",129.450000,-126.750000,180.000000,top
"U105","CN809R","SOT-23",128.325000,-136.175000,180.000000,top
"U106","CP2102N-Axx-xQFN20","SiliconLabs_QFN-20-1EP_3x3mm_P0.5mm_EP1.8x1.8mm",141.244080,-130.956171,0.000000,top
"Y101","32MHz","Crystal_SMD_3225-4Pin_3.2x2.5mm",141.453149,-123.806008,-135.000000,top
